Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
ABANS ELECTRICALS PLC,ABAN.N0000,417.25,446,43271,17421941,-29.5,-6.6
ABANS FINANCE PLC,AFSL.N0000,43,5,55,2386.5,0,0
ACCESS ENGINEERING PLC,AEL.N0000,41.9,422,1096258,45861207.7,0,0
ACL CABLES PLC,ACL.N0000,135.25,118,64099,8638779,3.5,2.66
ACL PLASTICS PLC,APLA.N0000,671,30,2164,1451057,6.25,0.94
ACME PRINTING & PACKAGING PLC,ACME.N0000,4.7,2,109,512.3,0,0
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,50.2,101,81858,4096222.7,1.9,3.93
AGSTAR PLC,AGST.X0000,7.7,,,,0,0
AGSTAR PLC,AGST.N0000,8.6,105,742356,6326166,0,0
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,83.7,55,38512,3245149.2,-0.8,-0.95
AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,0,,,,0,0
AITKEN SPENCE PLC,SPEN.N0000,142,60,29494,4202212.25,0,0
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,209.5,247,112032,23298554.75,17.25,8.97
ALPHA FIRE SERVICES PLC,AFS.N0000,9.2,12,19067,175419,0.2,2.22
ALUMEX PLC,ALUM.N0000,16.4,237,1079766,17598840.1,0.4,2.5
AMANA BANK PLC,ABL.N0000,24.9,16,25419,632840.3,0,0
AMANA TAKAFUL PLC,ATL.N0000,14.5,7,1256,18164,-0.3,-2.03
AMANA TAKAFUL LIFE PLC,ATLL.N0000,29.1,5,1615,47023.5,-0.9,-3
AMBEON CAPITAL PLC,TAP.N0000,30,189,703572,21247833.7,0,0
AMBEON HOLDINGS PLC,GREG.N0000,91.7,79,106049,9729358.8,-0.9,-0.97
AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,22.4,,,,0,0
ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,0,,,,0,0
ARPICO INSURANCE PLC,AINS.N0000,25.9,20,81915,2126640.6,-0.1,-0.38
ASIA ASSET FINANCE PLC,AAF.P0000,29.1,,,,0,0
ASIA ASSET FINANCE PLC,AAF.N0000,28,68,124981,3498402.6,-0.5,-1.75
ASIA CAPITAL PLC,ACAP.N0000,4,20,28554,111743.4,0.1,2.56
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,6.7,32,48263,316669,0,0
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,58,38,171615,9962715.9,0.5,0.87
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,12,12,3409,41148.7,0,0
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,27,12,1261,33641,0.1,0.37
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,35.2,48,65762,2313085.2,0.2,0.57
Agarapatana Plantations PLC,AGPL.N0000,12.9,173,2740148,35181992.8,0.1,0.78
